Id,Setter name,Data type,Header variations,Created at,Updated at
1105,gdrive_image_names,Diamond,Gdrive Image Names,2026-04-30 16:45:44 UTC,2026-04-30 16:45:44 UTC
1104,bar_code,Diamond,bar_code,2026-04-30 16:45:44 UTC,2026-04-30 16:45:44 UTC
939,gia_cert_category,Diamond,"Certification Category (GIA), Certification Category",2025-12-16 07:17:16 UTC,2025-12-16 07:17:16 UTC
768,memo_percent_adjustment,Diamond,Memo Percent Adjustment,2025-05-28 11:38:27 UTC,2025-05-28 11:38:27 UTC
767,memo_adjustment_type,Diamond,Memo Adjustment Type,2025-05-28 11:38:27 UTC,2025-05-28 11:38:27 UTC
766,total_price_memo,Diamond,"Total Price Memo, Total Memo Price, Memo Total Price, Total Price (Memo)",2025-05-28 11:38:27 UTC,2025-08-14 13:04:49 UTC
765,price_per_carat_memo,Diamond,"Price Per Carat Memo, Memo Price Per Carat, PPC Memo, Memo PPC, Memo P/ct, Memo Price",2025-05-28 11:38:27 UTC,2025-08-14 13:08:36 UTC
764,discount_percent_memo,Diamond,"Discount Percent Memo, Memo Price Discount%, Memo Discount Percent, Memo Rap Discount Percent",2025-05-28 11:38:27 UTC,2025-08-14 13:09:31 UTC
581,quantity,Diamond,quantity,2024-12-31 07:18:48 UTC,2024-12-31 07:18:48 UTC
575,company_identifier,Diamond,CustomerID,2024-10-16 13:08:03 UTC,2024-10-16 13:08:03 UTC
562,tier,Diamond,Tier,2024-05-12 04:53:20 UTC,2024-05-12 04:53:20 UTC
531,cert_updated_at,Diamond,Cert Updated At,2023-06-14 11:00:11 UTC,2023-06-14 11:00:11 UTC
526,custom_field13,Diamond,"test11,test12",2023-03-21 08:24:47 UTC,2023-03-21 08:24:47 UTC
525,custom_field12,Diamond,"test9,test10",2023-03-21 08:24:47 UTC,2023-03-21 08:24:47 UTC
524,custom_field11,Diamond,List Price,2023-03-21 08:24:47 UTC,2023-03-21 08:24:47 UTC
523,custom_field10,Diamond,T DDM TARGET1,2023-03-21 08:24:47 UTC,2023-03-21 08:24:47 UTC
522,custom_field9,Diamond,DDM TARGET1,2023-03-21 08:24:47 UTC,2023-03-21 08:24:47 UTC
521,custom_field8,Diamond,% DDM TARGET1,2023-03-21 08:24:47 UTC,2023-03-21 08:24:47 UTC
490,jewelry_stock_num,Diamond,"Box Lot ID, boxnumber",2023-02-24 09:06:42 UTC,2023-07-07 14:42:36 UTC
466,cert_url_4,Diamond,"Certificate Filename 4, CertFile 4, CertFilename 4, CertificateFile 4, Certificate Link 4, CertificateImage 4, CertImage 4, File 4, CERTIMG 4, Certificate URL 4, CERTIMG_URL_4, Image Certi 4, certificate_url_4, cert_url_4, Cert Link 4, CERT URL 4, certilink4",2022-10-29 12:37:47 UTC,2023-01-30 07:18:52 UTC
465,cert_url_3,Diamond,"Certificate Filename 3, CertFile 3, CertFilename 3, CertificateFile 3, Certificate Link 3, CertificateImage 3, CertImage 3, File 3, CERTIMG 3, Certificate URL 3, CERTIMG_URL_3, Image Certi 3, certificate_url_3, cert_url_3, Cert Link 3, CERT URL 3, certilink3",2022-10-29 12:37:47 UTC,2023-01-30 07:18:39 UTC
464,cert_url_2,Diamond,"Certificate Filename 2, CertFile 2, CertFilename 2, CertificateFile 2, Certificate Link 2, CertificateImage 2, CertImage 2, File 2, CERTIMG 2, Certificate URL 2, CERTIMG_URL_2, Image Certi 2, certificate_url_2, cert_url_2, Cert Link 2, CERT URL 2, certilink2",2022-10-29 12:37:47 UTC,2023-01-30 07:18:24 UTC
