Id,Setter name,Data type,Header variations,Created at,Updated at
1109,gdrive_image_names,Gemstone,Gdrive Image Names,2026-04-30 16:45:44 UTC,2026-04-30 16:45:44 UTC
1108,memo_percent_adjustment,Gemstone,Memo Percent Adjustment,2026-04-30 16:45:44 UTC,2026-04-30 16:45:44 UTC
1107,memo_adjustment_type,Gemstone,Memo Adjustment Type,2026-04-30 16:45:44 UTC,2026-04-30 16:45:44 UTC
1106,bar_code,Gemstone,bar_code,2026-04-30 16:45:44 UTC,2026-04-30 16:45:44 UTC
594,share_access,Gemstone,Share Access,2025-01-13 10:51:17 UTC,2020-10-13 10:51:17 UTC
582,quantity,Gemstone,quantity,2024-12-31 07:18:48 UTC,2024-12-31 07:18:48 UTC
577,company_identifier,Gemstone,CustomerID,2024-10-16 13:17:08 UTC,2024-10-16 13:17:08 UTC
520,custom_field13,Gemstone,"test11,test12",2023-03-21 08:23:58 UTC,2023-03-21 08:23:58 UTC
519,custom_field12,Gemstone,"test9,test10",2023-03-21 08:23:58 UTC,2023-03-21 08:23:58 UTC
518,custom_field11,Gemstone,List Price,2023-03-21 08:23:58 UTC,2023-03-21 08:23:58 UTC
517,custom_field10,Gemstone,T DDM TARGET,2023-03-21 08:23:58 UTC,2023-03-21 08:23:58 UTC
516,custom_field9,Gemstone,DDM TARGET,2023-03-21 08:23:58 UTC,2023-03-21 08:23:58 UTC
515,custom_field8,Gemstone,% DDM TARGET,2023-03-21 08:23:58 UTC,2023-03-21 08:23:58 UTC
479,cert_url_4,Gemstone,"Certificate URL 4, Cert Link 4, Certificate Link 4, Certificate Filename 4, Cert File 4, CertFilename 4, CertificateFile 4, CertificateImage 4, CertImage 4, File 4, Cert Url 4",2022-10-29 12:37:47 UTC,2023-01-30 07:20:15 UTC
478,cert_url_3,Gemstone,"Certificate URL 3, Cert Link 3, Certificate Link 3, Certificate Filename 3, Cert File 3, CertFilename 3, CertificateFile 3, CertificateImage 3, CertImage 3, File 3, Cert Url 3",2022-10-29 12:37:47 UTC,2023-01-30 07:20:02 UTC
477,cert_url_2,Gemstone,"Certificate URL 2, Cert Link 2, Certificate Link 2, Certificate Filename 2, Cert File 2, CertFilename 2, CertificateFile 2, CertificateImage 2, CertImage 2, File 2, Cert Url 2",2022-10-29 12:37:47 UTC,2023-01-30 07:19:47 UTC
476,video_url_4,Gemstone,"Video URL 4, Video Link 4, Video 4, 3D File 4, VideoPath 4",2022-10-29 12:37:47 UTC,2023-01-30 07:15:44 UTC
475,video_url_3,Gemstone,"Video URL 3, Video Link 3, Video 3, 3D File 3, VideoPath 3",2022-10-29 12:37:47 UTC,2023-01-30 07:15:01 UTC
474,video_url_2,Gemstone,"Video URL 2, Video Link 2, Video 2, 3D File 2, VideoPath 2",2022-10-29 12:37:47 UTC,2023-01-30 07:14:53 UTC
473,image_url_8,Gemstone,"Image URL 8, Image Link 8, Image 8, StoneImage 8, Image File 8, Picture URL 8, photo 8",2022-10-29 12:37:47 UTC,2023-01-30 06:34:30 UTC
472,image_url_7,Gemstone,"Image URL 7, Image Link 7, Image 7, StoneImage 7, Image File 7, Picture URL 7, photo 7",2022-10-29 12:37:47 UTC,2023-01-30 06:34:25 UTC
